L---------------------* Curatives *------------------------
001	Medicine D	002	Medicine C
003	Medicine B	004	Medicine A
005	Mega Medicine D	006	Mega Medicine C
007	Mega Medicine B	008	Mega Medicine A
009	Antitoxin	00A	Throat Drops
09E	Sacrificial Jizo	09F	Dragon Incense
--------------------* Stat Stones *-----------------------
00B	Stone Of Power	00C	Stone Of Skill
00D	Stone Of Magic	00E	Stone Of Evasion
00F	Stone Of Mag-Def	010	Stone Of Speed
011	Stone Of Luck	 
-------------------* Spell Scrolls *----------------------
012	Flaming Arrows	013	Dancing Flames
014	Blazing Wall	016	Thunder Runner
017	Berserk Blow	018	Soaring Bolt
01A	Wind Of Sleep	01E	Kindness Drops
022	Clay Guardian	023	Vengeful Child
0A0	Escape Scroll	 
--------------------* Food Items *------------------------
026	Egg Roll	027	Thick Egg Roll
028	Scrambled Eggs	029	EggsSunnySideUp
02A	Mayo Egg	02B	Crab Rice Bowl
02C	Nukazuke Pickles	02D	Carrot Cake
02E	Pickled Cucumber	02F	Pickled Cabbage
030	Super Pickles	031	Kimchi
032	Tomato Soup	033	Tomato Juice
034	Cherry Tomato	035	Tomato Miso Soup
036	Tomato Salad	037	Ripe Tomato
038	Pork Bun	039	Peach Bun
03A	Salty Bun	03B	Mapo Bun
03C	Takoyaki	03D	Pizza Bun
03E	ButterSautedClam	03F	Clam Chowder
040	Baked Scallops	041	Steamed Clams
042	Mayo Shell Fish	043	Spicy Clam Soup
044	Fried Noodles	045	Kid's Meal
046	Veggie Noodles	047	Thin Noodles
048	Okonomiyaki	049	Yakisoba
04A	Skewered Chicken	04B	Minced Chicken
04C	ChickenCartilage	04D	Teriyaki Chicken
04E	Chicken Salad	04F	Karaya Chicken
050	Ice Cream	051	Shaved Ice
052	Tomato Ice Cream	053	IceCreamTempura
054	Fried Ice Cream	055	Grenade Ice
056	Beef & Potatoes	057	Soy Locusts
058	Mashed Potatoes	059	Sukiyaki
05A	Surprise Stew	05B	Spicy Pot Dish
05C	Cake	05D	Shortcake
05E	Butter Cake	05F	Black Cake
060	Cheesecake	061	Fire Cake
062	Grilled Fish	063	Taiyaki
064	PreservdMackerel	065	Dried Fish
066	Muniere	067	RedHotGrilldFish
068	Gratin	069	Apple Gratin
06A	Salty Gratin	06B	Crispy Gratin
06C	Creamed Gratin	06D	Hot Gratin
06E	Lunch Box	06F	Ladies' Lunch
070	Rice Meal	071	Sashimi Meal
072	Fried-Prawn Meal	073	Chili Prawn Meal
074	Hashed Beef&Rice	075	Royal Tot Meal
076	Salted Beef	077	Peppered Beef
078	Mayo Beef	079	Curry Rice
